.... .##..###.
#... ##.#..#..
##.. ####.#..#
.##. ...#..##.
###. ####..###
#### .##.###.#
......... #.###.#####...##
#........ ##.#..###.#.##.#
.#....... ###..#.#.#...###
##....... ##.####.....##..
#.#...... ##.#.###.##.#.#.
###...... #..#.##.#....#.#
.#.#..... .##.#####..####.
##.#..... ##....#.#.##..##
..##..... #.##.#.###....##
#.##..... #...##....#..##.
.###..... #.#..#.##.###..#
####..... .#...#.....###..
....#.... ..#...#.##...#.#
#...#.... ##..######...###
.#..#.... ....#..##.#.....
##..#.... ..######....##..
#.#.#.... #.####..#.....#.
###.#.... ........#####..#
.#.##.... ....######.#....
##.##.... #####....####.##
..###.... .#.#.#..###..#..
#.###.... .#.####.......##
.####.... #....#.#.#.#...#
#####.... #.##.#...#..#...
...#.#... ###...#..#....##
#..#.#... #..##.##.#.....#
.#.#.#... ####..#.......#.
##.#.#... #.#......###..#.
#.##.#... #..#.#..#.#..###
####.#... .##.#..#.#.#..#.
...###... .#..#..#...#.##.
#..###... .##.##..###.##.#
.#.###... ...#..#####....#
##.###... .#.###.#.###.#..
#.####... #.#.##..#.#...#.
######... .#.########.####
..#...#.. .#..#.##......#.
#.#...#.. .....#.###..#..#
.##...#.. #.##.#.##..#.#.#
###...#.. #..#.#.##.#.##.#
.###..#.. ##..##.###.##..#
####..#.. ....#..####.#.##
..#.#.#.. .....#.......##.
#.#.#.#.. #..##.##.###....
.##.#.#.. ###.....##.##.#.
###.#.#.. #...###..#.#..#.
.####.#.. .....#....#.#.#.
#####.#.. ...#.######.####
#....##.. .....##...##..##
.#...##.. .#.##...#..####.
##...##.. #.#..##..##.....
#.#..##.. #..#..####.###..
.##..##.. ..#.#....##.##.#
###..##.. ##...##.####.##.
#..#.##.. ###.#.#.###..#.#
.#.#.##.. .##.#.#.#..#..#.
##.#.##.. .#.##.#.#...##.#
..##.##.. .##.##.#.#.#.#.#
#.##.##.. .#...##.###.#...
.###.##.. ######...##.##.#
####.##.. ###..##.##.##...
#...###.. ...##.#...######
.#..###.. #...##.#.##.###.
##..###.. ##.#.#.#....#.#.
#.#.###.. ....#....#.#..#.
.##.###.. ##........#.#.##
###.###.. ..#....##..#...#
#..####.. .....#..#...###.
.#.####.. ....#.#..#.#...#
##.####.. ###.###...#..###
..#####.. #.##..#...###...
#.#####.. ##.#.#.###..#..#
.######.. ###...###.......
#######.. .######.#.....#.
.#.#.#.#. ..####.#.##.####
##.#.#.#. .....#.##...###.
#.##.#.#. ##.####...#..#..
####.#.#. .#####...###....
.#.###.#. ####.###.###....
##.###.#. #.#.#..##..####.
#.####.#. #.#..#.##.######
######.#. #.#..###..#.#.#.
#.#..###. ###..#.###..##..
###..###. #....####.....#.
.###.###. #..#.#.#...#.#..
####.###. ...####...##.#.#
#.#.####. ###....#....#...
###.####. ...##...#.####..
.#######. .###.###..#.#...
########. #...##..##.#.###
#.#...#.# ##..#.##..#..###
###...#.# #.#..##..##.#..#
####..#.# #...##..####..##
#.#.#.#.# #....#..#.....##
###.#.#.# #..####.#####...
#####.#.# ##....###.#.##..
#.##.##.# .#...#.##.#..#.#
####.##.# ..##########.###
#.#####.# .#####..#..#..#.
#######.# ##..#...##.###..
####.#### ###....#####..#.
######### .##.##........#.
